,has_geographic_targeting,has_cx,has_new_verticals_grocery,has_cart_abandonment,has_mx,has_reminders_notifications,has_multichannel,has_offers_promos,has_technical_automation,has_communication_channels,has_new_customer_experience,has_engagement_recommendations,has_dashpass,has_occasions_seasonal,has_other,has_churned_reengagement,has_customer_segments,has_partnerships,if_braze,target
has_geographic_targeting,1.0,0.389600310334204,0.09455090910407024,-0.07014777361753476,0.06378646402631785,0.38129293023577027,0.19840902628572687,0.5541802805576043,0.39291685934057086,0.40542514920139855,0.2844897129175947,0.18109161530261222,-0.2503156240641625,0.31186816468566686,-0.014036137645710996,0.2618756572963351,0.18809717941818388,-0.21613393860565966,0.3651570905350531,0.14153097982146307
has_cx,0.389600310334204,1.0,0.10638142902567956,-0.08571571957906524,0.08362767256808576,-0.1368037795886501,0.3130213180013927,0.4869687851055142,0.3935613911183637,0.46766053089692083,0.11698717420202594,0.23126392317234162,0.14895943759031463,0.3680742209554193,0.2630970161082996,0.3283520952258407,0.2209373451834179,-0.15374523967148315,0.3108800765084453,0.09478096290654153
has_new_verticals_grocery,0.09455090910407024,0.10638142902567956,1.0,-0.035498769015643604,0.2954222394500563,-0.10624808993322733,0.37010606724391715,0.034419348682104785,-0.10197117757475575,-0.14650203471262183,0.20877044019835347,-0.01390710999248592,-0.12874954654448534,-0.08232851734108385,-0.11725825471558264,-0.061721465934288636,-0.05906360835398909,-0.07620595987216931,0.12874954654448537,0.10840515378844973
has_cart_abandonment,-0.07014777361753476,-0.08571571957906524,-0.035498769015643604,1.0,-0.012177896258331065,0.2204883902138589,-0.02683084751607682,-0.0962202550471261,0.17281674535916935,-0.0469735396568983,-0.04273446712265468,-0.030501870209047172,-0.04128148760717523,-0.03256066482289378,-0.054573631949057795,-0.03222372229305029,-0.01893780352428501,-0.02443422499331976,0.0412814876071752,0.10703058821445693
has_mx,0.06378646402631785,0.08362767256808576,0.2954222394500563,-0.012177896258331065,1.0,-0.055231462511560525,0.2729079071438885,-0.045569955434706835,-0.022421392576551,-0.011569223647565408,-0.0043861465274672015,-0.032634413688696594,-0.044167689883414595,0.016268291409325238,-0.05838915677347426,-0.03447664935605034,0.06265175231266942,-0.02614254801852019,0.04416768988341452,0.057440340525110885
has_reminders_notifications,0.38129293023577027,-0.1368037795886501,-0.10624808993322733,0.2204883902138589,-0.055231462511560525,1.0,-0.08701574278625353,0.3303789047118614,0.14146707551358964,0.07604342427663778,0.09129353088795793,0.03232703536613837,-0.17504340236774193,-0.14767518957035414,-0.1463741620708704,-0.01281406445398706,-0.08589025257029,-0.11081864659459023,0.18722748879038473,0.18198165371824146
has_multichannel,0.19840902628572687,0.3130213180013927,0.37010606724391715,-0.02683084751607682,0.2729079071438885,-0.08701574278625353,1.0,-0.02181831923065807,0.1086807936510761,-0.11072986087030631,0.09617835703727858,0.030968500076300743,-0.09731209128904754,0.2884268543360059,-0.11188081555907904,0.14505117701978051,-0.04464173585277854,-0.05759834906515757,0.09731209128904751,0.021199947979911295
has_offers_promos,0.5541802805576043,0.4869687851055142,0.034419348682104785,-0.0962202550471261,-0.045569955434706835,0.3303789047118614,-0.02181831923065807,1.0,0.30500436048802065,0.39177047895696177,0.21000573578825454,0.14576793019812384,0.006408520723661278,0.06051649127515295,0.16054998084700361,0.1830696513274879,0.15924769433465527,-0.20655806097895593,0.34897869839522994,0.18069344905387805
has_technical_automation,0.39291685934057086,0.3935613911183637,-0.10197117757475575,0.17281674535916935,-0.022421392576551,0.14146707551358964,0.1086807936510761,0.30500436048802065,1.0,0.4258512967182458,0.21307246858205878,0.44371350644887647,-0.18414344188346096,0.20254466791484949,-0.07219680972552056,0.27929276122955593,0.14185444871971517,-0.11600758007743979,0.19599416313038423,0.14122240358463636
has_communication_channels,0.40542514920139855,0.46766053089692083,-0.14650203471262183,-0.0469735396568983,-0.011569223647565408,0.07604342427663778,-0.11072986087030631,0.39177047895696177,0.4258512967182458,1.0,0.24040336004610818,0.1710133352604823,-0.13150814879358758,-0.009463847504176845,0.05433085226600723,0.26075595734638574,0.02317380036355809,-0.02070889075176806,0.17036708872214407,0.09296229249177469
has_new_customer_experience,0.2844897129175947,0.11698717420202594,0.20877044019835347,-0.04273446712265468,-0.0043861465274672015,0.09129353088795793,0.09617835703727858,0.21000573578825454,0.21307246858205878,0.24040336004610818,1.0,0.07933111522228814,-0.08579545124456828,-0.07220202316956983,-0.04406771216188936,-0.053674863380925,-0.04403656503008805,-0.07033551692815887,0.1549925086539582,0.18759559786548377
has_engagement_recommendations,0.18109161530261222,0.23126392317234162,-0.01390710999248592,-0.030501870209047172,-0.032634413688696594,0.03232703536613837,0.030968500076300743,0.14576793019812384,0.44371350644887647,0.1710133352604823,0.07933111522228814,1.0,-0.09255192227936547,-0.00010508587274085115,0.03379379530782059,0.13341665093418725,-0.015401073128510731,-0.06547901129057287,0.11062642641053204,0.14082880729863903
has_dashpass,-0.2503156240641625,0.14895943759031463,-0.12874954654448534,-0.04128148760717523,-0.044167689883414595,-0.17504340236774193,-0.09731209128904754,0.006408520723661278,-0.18414344188346096,-0.13150814879358758,-0.08579545124456828,-0.09255192227936547,1.0,-0.1180934141487312,0.5090077234277546,-0.09961258420010337,-0.06868501877419395,-0.08861984444219774,0.14972273567467645,0.04423776750659698
has_occasions_seasonal,0.31186816468566686,0.3680742209554193,-0.08232851734108385,-0.03256066482289378,0.016268291409325238,-0.14767518957035414,0.2884268543360059,0.06051649127515295,0.20254466791484949,-0.009463847504176845,-0.07220202316956983,-0.00010508587274085115,-0.1180934141487312,1.0,0.09953469413670338,0.3655169479183496,0.4477652336102516,-0.06989866932600206,0.11809341414873133,-0.09691288145257486
has_other,-0.014036137645710996,0.2630970161082996,-0.11725825471558264,-0.054573631949057795,-0.05838915677347426,-0.1463741620708704,-0.11188081555907904,0.16054998084700361,-0.07219680972552056,0.05433085226600723,-0.04406771216188936,0.03379379530782059,0.5090077234277546,0.09953469413670338,1.0,-0.12585001632831422,-0.06775789946444155,-0.044266130721551875,0.19793166246498456,0.03733314814514654
has_churned_reengagement,0.2618756572963351,0.3283520952258407,-0.061721465934288636,-0.03222372229305029,-0.03447664935605034,-0.01281406445398706,0.14505117701978051,0.1830696513274879,0.27929276122955593,0.26075595734638574,-0.053674863380925,0.13341665093418725,-0.09961258420010337,0.3655169479183496,-0.12585001632831422,1.0,0.4864377731500676,-0.015791890779894333,0.11687136619800416,-0.05711369230626873
has_customer_segments,0.18809717941818388,0.2209373451834179,-0.05906360835398909,-0.01893780352428501,0.06265175231266942,-0.08589025257029,-0.04464173585277854,0.15924769433465527,0.14185444871971517,0.02317380036355809,-0.04403656503008805,-0.015401073128510731,-0.06868501877419395,0.4477652336102516,-0.06775789946444155,0.4864377731500676,1.0,-0.04065418422826751,0.06868501877419386,-0.06482728595029906
has_partnerships,-0.21613393860565966,-0.15374523967148315,-0.07620595987216931,-0.02443422499331976,-0.02614254801852019,-0.11081864659459023,-0.05759834906515757,-0.20655806097895593,-0.11600758007743979,-0.02070889075176806,-0.07033551692815887,-0.06547901129057287,-0.08861984444219774,-0.06989866932600206,-0.044266130721551875,-0.015791890779894333,-0.04065418422826751,1.0,0.08861984444219784,-0.09530774475613961
if_braze,0.3651570905350531,0.3108800765084453,0.12874954654448537,0.0412814876071752,0.04416768988341452,0.18722748879038473,0.09731209128904751,0.34897869839522994,0.19599416313038423,0.17036708872214407,0.1549925086539582,0.11062642641053204,0.14972273567467645,0.11809341414873133,0.19793166246498456,0.11687136619800416,0.06868501877419386,0.08861984444219784,1.0,0.0895200378571
target,0.14153097982146307,0.09478096290654153,0.10840515378844973,0.10703058821445693,0.057440340525110885,0.18198165371824146,0.021199947979911295,0.18069344905387805,0.14122240358463636,0.09296229249177469,0.18759559786548377,0.14082880729863903,0.04423776750659698,-0.09691288145257486,0.03733314814514654,-0.05711369230626873,-0.06482728595029906,-0.09530774475613961,0.0895200378571,1.0
